"Gene","Symbol","log2FoldChange","padj"
"ENSG00000277209","RPPH1",-12.5231444663868,2.62555006953562e-38
"ENSG00000124575","H1-3",-8.54172787792573,3.49113463904289e-26
"ENSG00000276168","RN7SL1",-8.15254577163772,7.38422892835546e-24
"ENSG00000278771","RN7SL3",-9.23405713559993,2.5381017523344e-23
"ENSG00000265817","FSBP",-1.81069281754723,1.33690751226804e-22
"ENSG00000274585","RNU2-1",-9.29969020795557,1.63191114436498e-22
"ENSG00000123243","ITIH5",-4.5574217926501,1.48431360804236e-21
"ENSG00000274012","RN7SL2",-8.05555709667576,5.17173694276871e-21
"ENSG00000283293","RN7SK",-10.5903035177669,9.84922900886507e-21
"ENSG00000261824","LINC00662",-1.65968807339089,1.37817641278565e-20
