"Gene","Symbol","log2FoldChange","padj"
"ENSG00000173457","PPP1R14B",1.40600913605641,1.81111182481002e-29
"ENSG00000185883","ATP6V0C",1.00710426634968,4.87371699225877e-29
"ENSG00000198763","ND2",1.35725500311927,5.38422848179342e-26
"ENSG00000125534","PPDPF",1.31044778270322,1.10478511481142e-25
"ENSG00000103066","PLA2G15",1.67935343095246,1.15531012466275e-20
"ENSG00000171302","CANT1",1.02477257169604,1.37817641278565e-20
"ENSG00000141560","FN3KRP",1.04162279718115,3.31757832615346e-20
"ENSG00000183684","ALYREF",1.73814622695303,2.8956017158201e-19
"ENSG00000172009","THOP1",1.11080790256996,2.09393889238254e-17
"ENSG00000137267","TUBB2A",1.84949314612142,2.74498781504019e-17
