"Gene","Symbol","log2FoldChange","padj"
"ENSG00000200320","SNORA63",-29.3632476898511,7.29013242044956e-19
"ENSG00000238795","SCARNA12",-28.2724212826623,1.38102883437924e-17
"ENSG00000277209","RPPH1",-11.797669810378,1.10930751741388e-16
"ENSG00000207165","SNORA70",-27.1871907991928,2.24986780037442e-16
"ENSG00000238917","SNORD10",-26.4020330778695,2.06330774640074e-15
"ENSG00000207166","SNORA68",-26.183178244062,2.94128540870736e-15
"ENSG00000206597","SNORA57",-26.175598705498,2.94128540870736e-15
"ENSG00000199293","SNORA21",-25.1727474525076,4.55563679338464e-14
"ENSG00000263934",NA,-10.1201929555991,4.55563679338464e-14
"ENSG00000184357","H1-5",-9.69683251425253,1.9866317494359e-13
