"sample","condition","genes_total","detected_counts_gt0","detected_tpm_ge0.1"
"SRR26288229","with_DMSO",60928,24684,20371
"SRR26288230","with_DMSO",60928,24920,20349
"SRR26298244","with_DMSO",60928,24670,20082
"SRR26298245","with_DMSO",60928,24412,20010
"SRR26298418","with_DMSO",60928,24748,20012
"SRR26298419","with_DMSO",60928,24345,19994
"SRR26298490","with_DMSO",60928,25214,20213
"SRR26298491","with_DMSO",60928,24208,20068
"SRR30861746","with_DMSO",60928,19969,18522
"SRR30861747","with_DMSO",60928,18080,17428
"SRR23957918","without_DMSO",60928,22070,18646
"SRR23957919","without_DMSO",60928,22224,18581
"SRR25385848","without_DMSO",60928,20570,18556
"SRR25385849","without_DMSO",60928,19922,18046
"SRR26288218","without_DMSO",60928,23858,19805
"SRR26288224","without_DMSO",60928,24267,19906
"SRR30861740","without_DMSO",60928,24617,19660
"SRR30861741","without_DMSO",60928,24064,19984
"SRR32886967","without_DMSO",60928,26587,20438
"SRR32886968","without_DMSO",60928,25612,19586
