"Gene","Symbol","log2FoldChange","padj"
"ENSG00000187953","PMS2CL",-7.96431835280897,3.64635416061213e-15
"ENSG00000256861",NA,-23.542880218242,1.25832276270892e-11
"ENSG00000147408","CSGALNACT1",-1.95596548489429,3.76890148513245e-10
"ENSG00000198758","EPS8L3",-1.11944182636131,4.56585314847993e-09
"ENSG00000198910","L1CAM",-1.36053734141641,9.753324219655e-09
"ENSG00000096433","ITPR3",-2.10883838138315,9.81745966586487e-09
"ENSG00000109321","AREG",-1.76490683326194,1.72919778080911e-08
"ENSG00000206652","RNU1-1",-6.79865519834898,1.84587328608292e-08
"ENSG00000197019","SERTAD1",-1.47018703811903,3.01270322583522e-08
"ENSG00000188257","PLA2G2A",-5.46679782141259,5.86538328238622e-08
