"Gene","Symbol","log2FoldChange","padj"
"ENSG00000228835",NA,1.45643413464506,3.96245303886917e-12
"ENSG00000270933",NA,1.58230461330353,4.01609538644282e-09
"ENSG00000229005","HNF4A-AS1",1.22602648770876,3.1048749470428e-08
"ENSG00000099365","STX1B",1.07649937784533,6.38071657078839e-08
"ENSG00000234350","ERICH2-DT",1.6853163252462,1.12210437778432e-07
"ENSG00000141449","GREB1L",2.58956577538061,1.14002539165425e-07
"ENSG00000285417",NA,1.03441221736317,3.99742271850306e-07
"ENSG00000272568","CPVL-AS2",1.94069101461903,1.62043337625667e-06
"ENSG00000166819","PLIN1",2.03234772169266,7.05061077536523e-06
"ENSG00000291006","LOC730101",1.07653321526543,7.48411487118329e-06
