"Gene","Symbol","log2FoldChange","padj"
"ENSG00000209582","SNORA48",23.3303927564061,1.06829561372871e-10
"ENSG00000277918","RNVU1-28",22.6922782070056,2.94317219478808e-10
"ENSG00000199347","RNU5E-1",21.6990159860935,2.15497947224285e-09
"ENSG00000200156","RNU5B-1",21.5826598666403,2.15497947224285e-09
"ENSG00000277985","SNORA67",21.577656171907,2.15497947224285e-09
"ENSG00000239039","SNORD13",21.2515901329727,4.09991207009623e-09
"ENSG00000270066",NA,20.8960655361141,8.55462845396826e-09
"ENSG00000225091","SNORA71A",20.7793511387673,1.00007767178687e-08
"ENSG00000222489","SNORA79B",20.6344539622158,1.27221609976531e-08
"ENSG00000200354","SNORA71D",20.4191167008054,1.94417234716968e-08
