"symbol","cell_line","sample","condition","norm_count"
"RNU1-1","A549","SRR27421766","+",0
"RNU1-1","A549","SRR27421767","+",0
"RNU1-1","A549","SRR29804957","+",1.21671708569046
"RNU1-1","A549","SRR29804958","+",0
"RNU1-1","A549","SRR29816836","+",0
"RNU1-1","A549","SRR29816837","+",20.1400189583771
"RNU1-1","A549","SRR30921975","+",0
"RNU1-1","A549","SRR30921976","+",0
"RNU1-1","A549","SRR32569850","+",1.26968978709073
"RNU1-1","A549","SRR32569851","+",3.22919115013024
"RNU1-1","A549","SRR17260711","−",13663.2368505945
"RNU1-1","A549","SRR17260712","−",12704.1312201609
"RNU1-1","A549","SRR17260713","−",11562.7134042357
"RNU1-1","A549","SRR17260714","−",13879.2208512976
"RNU1-1","A549","SRR27238840","−",14727.3892221334
"RNU1-1","A549","SRR27238841","−",21751.0791047449
"RNU1-1","A549","SRR27238842","−",15783.4060846218
"RNU1-1","A549","SRR31847362","−",2.71156409549918
"RNU1-1","A549","SRR31847363","−",3.30069341311971
"RNU1-1","A549","SRR31847364","−",1.96980036765757
"RNU1-1","Calu-3","SRR14523763","+",21.7229983757166
"RNU1-1","Calu-3","SRR14523764","+",6.88376786922424
"RNU1-1","Calu-3","SRR14523765","+",24.5070767863208
"RNU1-1","Calu-3","SRR25454032","+",432.400017497586
"RNU1-1","Calu-3","SRR25454033","+",126.998352177673
"RNU1-1","Calu-3","SRR25454034","+",134.054999967402
"RNU1-1","Calu-3","SRR25454037","+",143.17484894625
"RNU1-1","Calu-3","SRR26176182","+",4.29469125968896
"RNU1-1","Calu-3","SRR26176183","+",1.49325518671728
"RNU1-1","Calu-3","SRR26176184","+",20.0591867819563
"RNU1-1","Calu-3","SRR11550037","−",10633.2465973351
"RNU1-1","Calu-3","SRR11550038","−",15334.4295509344
"RNU1-1","Calu-3","SRR11550039","−",18719.6818080254
"RNU1-1","Calu-3","SRR11550040","−",22932.4621025248
"RNU1-1","Calu-3","SRR14523760","−",12.9484069283966
"RNU1-1","Calu-3","SRR14523761","−",5.78023939761394
"RNU1-1","Calu-3","SRR14523762","−",16.8807904277724
"RNU1-1","Calu-3","SRR25454023","−",462.542559812379
"RNU1-1","Calu-3","SRR25454024","−",100.774562281658
"RNU1-1","Calu-3","SRR25454025","−",113.428013879761
"RNU1-1","HepG2","SRR26288229","+",2.96521523268711
"RNU1-1","HepG2","SRR26288230","+",1.4011729743154
"RNU1-1","HepG2","SRR26298244","+",2.88187754201512
"RNU1-1","HepG2","SRR26298245","+",6.29417882711685
"RNU1-1","HepG2","SRR26298418","+",4.15362617298775
"RNU1-1","HepG2","SRR26298419","+",1.62272014139278
"RNU1-1","HepG2","SRR26298490","+",1.90333605026514
"RNU1-1","HepG2","SRR26298491","+",1.64514371041428
