"sample","condition","genes_total","detected_counts_gt0","detected_tpm_ge0.1"
"SRR27421766","with_DMSO",60928,21934,18987
"SRR27421767","with_DMSO",60928,22060,19106
"SRR29804957","with_DMSO",60928,23016,20541
"SRR29804958","with_DMSO",60928,23344,20572
"SRR29816836","with_DMSO",60928,21311,19350
"SRR29816837","with_DMSO",60928,21086,19262
"SRR30921975","with_DMSO",60928,23366,21039
"SRR30921976","with_DMSO",60928,23749,21477
"SRR32569850","with_DMSO",60928,23445,20901
"SRR32569851","with_DMSO",60928,24759,20971
"SRR17260711","without_DMSO",60928,28122,24865
"SRR17260712","without_DMSO",60928,27007,24534
"SRR17260713","without_DMSO",60928,28927,25047
"SRR17260714","without_DMSO",60928,26607,24208
"SRR27238840","without_DMSO",60928,26188,24591
"SRR27238841","without_DMSO",60928,26040,24329
"SRR27238842","without_DMSO",60928,25350,24099
"SRR31847362","without_DMSO",60928,25572,21831
"SRR31847363","without_DMSO",60928,25687,21766
"SRR31847364","without_DMSO",60928,25749,21821
