"sample","condition","genes_total","detected_counts_gt0","detected_tpm_ge0.1"
"SRR12010574","with_DMSO",60928,22990,18154
"SRR12010575","with_DMSO",60928,22945,18423
"SRR18313280","with_DMSO",60928,28972,21225
"SRR18313281","with_DMSO",60928,32107,21463
"SRR18592312","with_DMSO",60928,21381,18705
"SRR18592313","with_DMSO",60928,21009,18388
"SRR25728974","with_DMSO",60928,0,0
"SRR25728975","with_DMSO",60928,0,0
"SRR29653385","with_DMSO",60928,25624,21165
"SRR29653386","with_DMSO",60928,25967,21633
"SRR11905189","without_DMSO",60928,28834,23939
"SRR11905190","without_DMSO",60928,28764,24043
"SRR15564836","without_DMSO",60928,21134,18241
"SRR15564856","without_DMSO",60928,19726,17380
"SRR25728972","without_DMSO",60928,0,0
"SRR25728973","without_DMSO",60928,0,0
"SRR28955656","without_DMSO",60928,21058,18563
"SRR28955657","without_DMSO",60928,20404,17913
"SRR29653388","without_DMSO",60928,27275,22978
"SRR29653389","without_DMSO",60928,27565,23308
