ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050907	detection of chemical stimulus involved in sensory perception	73/1163	117/14829	0.623931623931624	7.95553056860022	22.0342247138553	2.80026925495632e-51	1.39649427744672e-47	1.38244871639423e-47	OR1I1/TRPA1/TAS2R3/TAS2R4/TAS2R5/OR7C1/CA6/SLC24A4/OR4K2/OR51B5/LPO/OR1F1/OR2W6P/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2	73
GO:0009593	detection of chemical stimulus	78/1163	148/14829	0.527027027027027	6.7199344658502	20.4011443740403	4.87678289124314e-47	1.21602581393148e-43	1.20379535578581e-43	CASR/OR1I1/TRPA1/KCNIP2/TAS2R3/TAS2R4/TAS2R5/OR7C1/CA6/SLC24A4/KCNMB1/OR4K2/NOD2/OR51B5/LPO/OR1F1/OR2W6P/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/CLEC7A/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2	78
GO:0050906	detection of stimulus involved in sensory perception	85/1163	178/14829	0.47752808988764	6.08879109625436	19.9251421085838	1.0280712795839e-46	1.70899715709496e-43	1.69180852675385e-43	SEMA5B/OR1I1/TRPA1/HPN/TAS2R3/TAS2R4/TAS2R5/OR7C1/CA6/SLC24A4/SCN1A/PPEF2/ADGRV1/TMC1/OR4K2/OR51B5/LPO/OR1F1/OR2W6P/SCN11A/OR10G3/OR5AU1/SCN9A/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/CACNB4/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/EYS/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/PJVK/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/STRC/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2	85
GO:0051606	detection of stimulus	105/1163	274/14829	0.383211678832117	4.88619603215947	18.9410616829882	2.68826984978335e-46	3.35160043521739e-43	3.31789094617997e-43	CASR/GUCA1A/PKD2L2/SEMA5B/OR1I1/RP1/TRPA1/HPN/CRTAM/GRK7/KCNIP2/TAS2R3/TAS2R4/TAS2R5/OR7C1/AIPL1/SAG/CA6/PDE6B/SLC24A4/SCN1A/KCNMB1/PPEF2/PKD1L1/PGLYRP3/ADGRV1/TMC1/OR4K2/NOD2/OR51B5/LPO/OR1F1/OR2W6P/SCN11A/OR10G3/OR5AU1/SCN9A/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/CLEC7A/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/CABP4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/RRH/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/CACNB4/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/EYS/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/GPR52/PJVK/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/STRC/NAIP/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2/NR2E3	105
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	59/1163	88/14829	0.670454545454545	8.54872781990151	20.7186792650944	2.463172969075e-44	2.45676871935541e-41	2.43205920525511e-41	OR1I1/OR7C1/SLC24A4/OR4K2/OR51B5/OR1F1/OR2W6P/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/OR11A1/OR14J1/OR2A5/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/OR6J1/OR4M2	59
GO:0007606	sensory perception of chemical stimulus	75/1163	154/14829	0.487012987012987	6.20972965126017	18.958192569098	4.50038811048514e-42	3.74057258449823e-39	3.70295091897812e-39	OR1I1/TRPA1/CFAP69/TAS2R3/TAS2R4/TAS2R5/OR7C1/CA6/SLC24A4/OR4K2/OR51B5/LPO/OR1F1/OR2W6P/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/OR2G6/OR8A1/VN1R2/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2	75
GO:0007608	sensory perception of smell	60/1163	109/14829	0.55045871559633	7.01870360582802	18.3980899830608	7.53803632806906e-38	5.37031245258291e-35	5.31629930505923e-35	OR1I1/CFAP69/OR7C1/SLC24A4/OR4K2/OR51B5/OR1F1/OR2W6P/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/OR10H1/OR6C75/OR7D2/OR2G6/OR8A1/OR10J1/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/OR11A1/OR14J1/OR2A5/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/OR6J1/OR4M2	60
GO:0007600	sensory perception	120/1163	506/14829	0.237154150197628	3.023868351918	13.5129745714383	2.53133719091265e-29	1.57797232138517e-26	1.56210150333952e-26	PAX6/GUCA1A/MYO3B/IMPG2/OPRK1/SEMA5B/SLC26A4/MYO15A/OR1I1/RP1/TRPA1/CRX/HPN/CFAP69/POU6F2/OPRM1/SOBP/GRK7/IAPP/TAS2R3/TAS2R4/TAS2R5/OR7C1/AIPL1/AOC2/CA6/PDE6A/PDE6B/SPX/RDH5/SLC24A4/HMCN1/SCN1A/OTOA/PPEF2/CACNA1D/BSND/NPY1R/ADGRV1/TMC1/OR4K2/CACNB2/MYO1A/OR51B5/LPO/OR1F1/OR2W6P/SCN11A/OR10G3/OR5AU1/SCN9A/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/OR7D4/CABP4/OR4K17/OR4M1/OR4F17/OR2T12/OR2T33/OR2AP1/RRH/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/CACNB4/OR4Q3/OR4M2B/OR56A4/OR1D2/OR7A17/MINAR2/OR10H1/OR6C75/OR7D2/EYS/OR2G6/OR8A1/VN1R2/OR10J1/GRM7/OR52K1/OR11G2/OR1J2/OR6Y1/OR10Z1/OR2L2/PJVK/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/CEACAM16/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/STRC/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2/NR2E3	120
GO:0007186	G protein-coupled receptor signaling pathway	138/1163	714/14829	0.19327731092437	2.4644103557158	11.6998931049562	3.52618269561818e-24	1.95389701144976e-21	1.93424524473091e-21	CX3CL1/TBXA2R/CASR/CAMK2A/ADCY2/P2RY10/OPRK1/FCN1/NOS1/OR1I1/CCL24/OPRM1/PDE4D/GRK7/RGS2/PADI2/MPL/ADRA1A/IAPP/GPR83/TAS2R3/TAS2R4/TAS2R5/OR7C1/AIPL1/ADCY4/MAS1/SAG/CHRM3/C5AR2/HTR2B/DGKB/LPAR6/GPR65/SLC24A4/PTH2R/IQGAP2/NPFFR1/AKAP6/MCHR2/ADGRF1/CACNA1D/NPY1R/ADGRV1/ABCA1/TSHR/OR4K2/OR51B5/OR1F1/OR2W6P/SCN11A/OR10G3/OR5AU1/OR10A3/OR10A2/OR7G2/FPR2/OR2M4/OR2AT4/NMUR1/GPR82/GPR34/RASGRP4/OR1A1/AZU1/OR5A1/OR5A2/OR10H5/PDE3A/OR4D9/CYSLTR1/OR10K1/OR7D4/OR4K17/OR4M1/RIMS2/OR4F17/OR2T12/OR2T33/OR2AP1/RRH/ADGRD2/OR56A1/OR52E4/OR52N1/GPR135/OR5AS1/OR52A1/OR4Q3/OR4M2B/OR56A4/CCR4/NPW/CNTN2/OR1D2/GPR173/DRD1/NPY2R/OR7A17/OR10H1/GPR141/OR6C75/OR7D2/GPR21/OR2G6/CNR2/LRRK2/OR8A1/VN1R2/OR10J1/GRM7/OR52K1/OR11G2/HCAR1/OR1J2/OR6Y1/OR10Z1/OR2L2/GPR52/OR11A1/OR14J1/TAS2R19/TAS2R50/TAS2R14/TAS2R13/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/OR1J4/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/OR4M2	138
GO:0050877	nervous system process	159/1163	955/14829	0.166492146596859	2.12288223721824	10.4651507902016	8.97017006692135e-21	4.47342381237368e-18	4.42843132777486e-18	SCN4A/PAX6/GUCA1A/MYO3B/CACNG5/ITGA8/IMPG2/MEF2C/OPRK1/SEMA5B/SLC26A4/MYO15A/OR1I1/RP1/TRPA1/CRX/HPN/CFAP69/POU6F2/SLC6A4/CUX2/OPRM1/SOBP/GRK7/FGF12/ADRA1A/IAPP/PDE1B/KCNJ2/TAS2R3/TAS2R4/TAS2R5/OR7C1/AIPL1/FGF13/AOC2/CA6/SNAP25/PDE6A/PDE6B/SPX/RDH5/SCN2A/SLC24A4/ITGAX/HMCN1/SCN1A/GLRA3/VLDLR/HTR3B/ADGRF1/JPH3/OTOA/PPEF2/SLC6A1/CACNA1D/SHROOM4/TNNI1/BSND/LHX8/CFAP221/NPY1R/ADGRV1/TMC1/PTCHD1/OR4K2/CACNB2/MYO1A/OR51B5/LPO/OR1F1/OR2W6P/SCN11A/OR10G3/OR5AU1/SCN9A/FOS/OR10A3/OR10A2/OR7G2/OR2M4/OR2AT4/OR1A1/OR5A1/OR5A2/OR10H5/OR4D9/OR10K1/CNTNAP2/OR7D4/CABP4/OR4K17/OR4M1/RIMS2/OR4F17/OR2T12/OR2T33/OR2AP1/FOXS1/RRH/OR56A1/OR52E4/OR52N1/OR5AS1/OR52A1/CACNB4/OR4Q3/OR4M2B/OR56A4/CNTN2/OR1D2/DRD1/PRKN/OR7A17/MINAR2/OR10H1/OR6C75/OR7D2/EYS/OR2G6/CFAP54/LRRK2/OR8A1/VN1R2/OR10J1/GRM7/OR52K1/OR11G2/OR1J2/OR6Y1/TAFA2/DMD/OR10Z1/OR2L2/PJVK/OR11A1/OR14J1/TAS2R50/TAS2R14/TAS2R13/CEACAM16/OR2A5/TAS2R46/OR2M3/OR5H1/OR5H14/SHISA9/OR1J4/STRC/OR10G4/TAS2R43/OR6J1/TAS2R20/TAS2R30/TAS2R31/GRIN2B/OR4M2/NR2E3/ARMCX5-GPRASP2	159
