ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006334	nucleosome assembly	39/241	96/14201	0.40625	23.9384076763485	29.6293635415462	1.99511900158997e-44	4.29549121042321e-41	4.29549121042321e-41	H1-3/H1-1/H2BC11/H1-4/H2BC4/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H3C11/H2BC9/H3C1/H4C9/H2BC3/H4C5/H4C4/H2BC7/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3	39
GO:0034728	nucleosome organization	39/241	115/14201	0.339130434782609	19.9833664080823	26.8558122976586	9.68356340169384e-41	1.04243560019234e-37	1.04243560019234e-37	H1-3/H1-1/H2BC11/H1-4/H2BC4/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H3C11/H2BC9/H3C1/H4C9/H2BC3/H4C5/H4C4/H2BC7/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3	39
GO:0065004	protein-DNA complex assembly	39/241	202/14201	0.193069306930693	11.3766689947003	19.5161939613065	2.92296071437903e-30	2.09771147268602e-27	2.09771147268602e-27	H1-3/H1-1/H2BC11/H1-4/H2BC4/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H3C11/H2BC9/H3C1/H4C9/H2BC3/H4C5/H4C4/H2BC7/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3	39
GO:0071824	protein-DNA complex organization	39/241	221/14201	0.176470588235294	10.3985843299976	18.5018424309797	1.0664757933281e-28	5.74030595758849e-26	5.74030595758849e-26	H1-3/H1-1/H2BC11/H1-4/H2BC4/H3C13/H1-5/H2BC13/H1-6/H1-2/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H3C11/H2BC9/H3C1/H4C9/H2BC3/H4C5/H4C4/H2BC7/H3C7/H2BC10/H4C1/H4C2/H3C10/H3C2/H3C3	39
GO:0061644	protein localization to CENP-A containing chromatin	13/241	17/14201	0.764705882352941	45.0605320966561	23.8827768788271	1.56987924422561e-20	6.75990002563548e-18	6.75990002563548e-18	H2BC11/H4C3/H4C11/H4C16/H4C14/H4C12/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2	13
GO:0006338	chromatin remodeling	57/241	838/14201	0.0680190930787589	4.00804622743343	11.7940921207726	5.02729764524769e-20	1.80396197170305e-17	1.80396197170305e-17	H1-3/H1-1/H2BC11/TET1/TTN/H1-4/APLF/H2AC6/H2BC4/H3C13/H2AC20/H2AC21/H1-5/H2BC13/H1-6/H1-2/WNK3/H2AC13/H2AC11/H2AC7/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/CDKN2B-AS1/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H2AC12/H2AC15/H3C11/H2BC9/H3C1/H4C9/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19	57
GO:0006325	chromatin organization	58/241	975/14201	0.0594871794871795	3.50530056388978	10.6502025918914	1.27885297480748e-17	3.93338636394357e-15	3.93338636394357e-15	H1-3/H1-1/H2BC11/TET1/TTN/H1-4/APLF/H2AC6/H2BC4/H3C13/H2AC20/H2AC21/H1-5/H2BC13/H1-6/H1-2/WNK3/H2AC13/H2AC11/H2AC7/H4C3/H3C12/H4C11/H3C4/H4C16/H3C14/H2BC15/CDKN2B-AS1/MALAT1/H4C14/H4C12/H2BC14/H2BC8/H3C8/H2BC6/H2BC17/H2AC12/H2AC15/H3C11/H2BC9/H3C1/H4C9/H2BC3/H2AC16/H4C5/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19	58
GO:0006396	RNA processing	59/241	1028/14201	0.0573929961089494	3.38190015661075	10.4180814558011	3.36921797378855e-17	9.06740787195844e-15	9.06740787195844e-15	SNORA21/SNORA52/SNORA73B/RNU5B-1/SNORA63/SNORA38B/SNORA80A/RNU4-1/SNORA74A/RNU4-2/RNVU1-7/SNORA57/SNORA2A/SNORA54/SNORA7B/SNORA70/SNORA68/RNVU1-15/SNORA80D/SNORA37/SNORA20/SNORD15B/SNORA80E/SNORA7A/SNORD94/SNORA49/SNORA48/SNORD17/SNORA74B/SNORA53/SNORA12/SNORA11F/SNORA2C/SNORA79B/SNORA71A/SNORD97/SCARNA7/SCARNA12/SNORD10/SNORA47/SCARNA10/SNORD13/SNORA59B/SNORA84/SCARNA22/SCARNA6/SCARNA5/SCARNA13/SCARNA21/SCARNA9/SCARNA17/SNORA28/SNORA73A/RNU2-1/SCARNA16/RPPH1/SCARNA2/SNORA17B/SNORD3D	59
GO:0071168	protein localization to chromatin	15/241	57/14201	0.263157894736842	15.5066608429788	14.4187876524647	2.11157663943341e-14	5.05136056077791e-12	5.05136056077791e-12	H2BC11/APLF/H1-5/H4C3/H4C11/H4C16/H4C14/H4C12/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2	15
GO:0071459	protein localization to chromosome, centromeric region	13/241	40/14201	0.325	19.1507261410788	15.1038277037283	5.61726673781171e-14	1.20939752865086e-11	1.20939752865086e-11	H2BC11/H4C3/H4C11/H4C16/H4C14/H4C12/H4C9/H4C5/H2AC8/H4C4/H2AC4/H4C1/H4C2	13
