ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1901652	response to peptide	39/201	795/14201	0.0490566037735849	3.46593447855064	8.57420124851449	6.55085175878528e-12	1.75212969751695e-08	1.22940188688954e-08	CD38/CX3CL1/TNFRSF1B/FOXC1/LAMP3/CEACAM1/CCL22/IL7/GATA3/COL1A1/CISH/CTH/MT2A/NR1D1/ASS1/RARA/IL15RA/IL6/KLF4/IL33/PML/IFITM3/IL22RA1/VEGFC/ZFP36L2/EDA/INHBB/NFIL3/IFI27/RAB43/EXT1/CSF1/STING1/IFITM2/SOCS1/IRS2/CARD16/CRLF2/TREX1	39
GO:0042221	response to chemical	84/201	2953/14201	0.0284456484930579	2.00973459825829	7.38719375724244	9.2803479741364e-12	1.75212969751695e-08	1.22940188688954e-08	CD38/CX3CL1/PLAUR/TYMP/TNFRSF1B/FOXC1/SYT1/LAMP3/CEACAM1/ACHE/SLC9A1/LGMN/TRIB3/ABCD1/CCL22/IL7/SERPINE1/GATA3/LIPA/COL1A1/VEGFA/STC2/CISH/IGFBP5/FBXO6/CTH/NR4A3/RUNX2/MT2A/NR1D1/SIX1/MGAT3/CD68/GDF15/ASS1/SESN2/IDO1/RARA/PPP1R1B/IL15RA/AKIRIN2/IL6/KLF4/IL33/PRICKLE1/PML/GATA6/IGFBP4/IFITM3/IL22RA1/OSR1/NR1I2/PTGES/LATS2/VEGFC/CCL28/ZFP36L2/FZD7/EDA/INHBB/CITED2/NFIL3/RET/IFI27/DDIT4/MN1/GPR37/CEBPB/CLEC7A/RAB43/PER1/EXT1/CSF1/STING1/IFITM2/SOCS1/IRS2/NCCRP1/PDCD1LG2/LPAR1/TGM2/CARD16/CRLF2/TREX1	84
GO:0034097	response to cytokine	38/201	781/14201	0.0486555697823303	3.43760072875061	8.39633993469061	1.63599481288858e-11	1.89346930144466e-08	1.3285744401584e-08	CD38/CX3CL1/TNFRSF1B/FOXC1/LAMP3/CEACAM1/CCL22/IL7/GATA3/COL1A1/CISH/CTH/MT2A/NR1D1/ASS1/RARA/IL15RA/IL6/KLF4/IL33/PML/IFITM3/IL22RA1/VEGFC/ZFP36L2/EDA/INHBB/NFIL3/IFI27/RAB43/EXT1/CSF1/STING1/IFITM2/SOCS1/CARD16/CRLF2/TREX1	38
GO:0051240	positive regulation of multicellular organismal process	52/201	1370/14201	0.037956204379562	2.68167193230926	7.84602142776128	2.00579375153036e-11	1.89346930144466e-08	1.3285744401584e-08	CD38/SOX8/CX3CL1/TNFRSF1B/FOXC1/NGFR/BCL3/PLXNA2/ACHE/SLC9A1/IL7/SERPINE1/GATA3/COL1A1/VEGFA/NR4A3/G0S2/RUNX2/SIX1/ADM2/IDO1/RARA/IL15RA/AKIRIN2/IL6/KLF4/IL33/GATA6/SECTM1/OSR1/VEGFC/DISC1/INHBB/FZD5/SPRY1/CITED2/OSR2/RET/ANGPTL4/CEBPB/CLEC7A/LRRN1/CSF1/STING1/SOCS1/IRS2/TRPV2/SULF2/PDCD1LG2/TGM2/HLA-F/CRLF2	52
GO:0071345	cellular response to cytokine stimulus	35/201	698/14201	0.0501432664756447	3.5427090906499	8.2544366016386	5.15647432815934e-11	3.89416941262593e-08	2.73238860715306e-08	CX3CL1/TNFRSF1B/FOXC1/CEACAM1/CCL22/IL7/GATA3/COL1A1/CISH/CTH/MT2A/NR1D1/ASS1/IL15RA/IL6/KLF4/IL33/PML/IFITM3/IL22RA1/VEGFC/ZFP36L2/EDA/INHBB/NFIL3/IFI27/RAB43/EXT1/CSF1/STING1/IFITM2/SOCS1/CARD16/CRLF2/TREX1	35
GO:0051239	regulation of multicellular organismal process	72/201	2402/14201	0.0299750208159867	2.11778741595934	7.20114075899598	6.33347244684406e-11	3.9858653265472e-08	2.7967280962643e-08	CD38/SOX8/CX3CL1/PLAUR/TYMP/TNFRSF1B/FOXC1/NGFR/BCL3/PLXNA2/CEACAM1/ACHE/SLC9A1/LGMN/ABCD1/IL7/SERPINE1/GATA3/COL1A1/VEGFA/STC2/IGFBP5/NR4A3/G0S2/RUNX2/NR1D1/SIX1/ADM2/GDF15/IDO1/RARA/IL15RA/AKIRIN2/IL6/KLF4/IL33/PRICKLE1/WARS1/PML/GATA6/SECTM1/OSR1/PTGES/LATS2/VEGFC/ZFP36L2/FZD7/DISC1/INHBB/FZD5/SPRY1/CITED2/OSR2/RET/ANGPTL4/CEBPB/CLEC7A/LRRN1/PER1/CSF1/STING1/SOCS1/IRS2/TRPV2/SULF2/PDCD1LG2/TGM2/CARD16/HLA-F/CRLF2/TREX1/HLA-B	72
GO:0009605	response to external stimulus	60/201	1852/14201	0.0323974082073434	2.28893330324619	7.12710609792622	2.46041108562512e-10	1.30713268081826e-07	9.17164629131235e-08	CX3CL1/PLAUR/TYMP/TNFRSF1B/NGFR/BCL3/CEACAM1/SLC9A1/APOL1/LGMN/CCL22/SERPINE1/GATA3/COL1A1/VEGFA/OPTN/SRMS/NR1D1/IFI6/CD68/ASS1/IDO1/RARA/AKIRIN2/SCEL/IL6/KLF4/IL33/PML/GATA6/IFITM3/IL22RA1/SHROOM2/PTGES/VEGFC/CCL28/DISC1/FZD5/CITED2/IFI27/DDIT4/IRF2/KLK7/CEBPB/CLEC7A/RAB43/METRNL/PER1/EXT1/B3GALT5/CSF1/STING1/IFITM2/PDCD1LG2/LPAR1/TMEM229B/CARD16/HLA-F/TREX1/HLA-B	60
GO:0048522	positive regulation of cellular process	111/201	4799/14201	0.0231298187122317	1.6341619678229	6.4690964676195	2.88346887669525e-10	1.30713268081826e-07	9.17164629131235e-08	CD38/SOX8/CX3CL1/NFIX/PLAUR/TNFRSF1B/FOXC1/NGFR/SYT1/PITX1/BCL3/ASNS/PLXNA2/LAMP3/CEACAM1/CEACAM6/ACHE/SLC9A1/LGMN/ABCD1/CCL22/TOX3/IL7/SERPINE1/GATA3/LIPA/COL1A1/PTP4A1/VEGFA/IGFBP5/CTH/NR4A3/IRF2BPL/AVPI1/BCL2L14/OPTN/NFE2/G0S2/ATP8A1/RUNX2/SRMS/NR1D1/SIX1/ADM2/MGAT3/APOL3/PODXL/GDF15/SESN2/EPS8L1/IDO1/RARA/RNF122/IL15RA/AKIRIN2/SCEL/IL6/KLF4/IL33/WARS1/PML/GATA6/SECTM1/IGFBP4/OSR1/NR1I2/PTGES/LATS2/VEGFC/CCL28/FZD7/RAET1L/TENT5B/EDA/KIF26B/DISC1/INHBB/FZD5/CITED2/OSR2/NFIL3/RET/IRF2/KLK7/MN1/MYRIP/GPR37/CEBPB/CLEC7A/LRRN1/METRNL/PER1/SERTAD2/CSF1/STING1/SOCS1/IRS2/TRPV2/NCCRP1/SLC6A9/SULF2/SERTAD1/PDCD1LG2/LPAR1/HOXC4/TGM2/CARD16/HLA-F/CRLF2/ATP10A/HLA-B	111
GO:0009887	animal organ morphogenesis	37/201	824/14201	0.0449029126213592	3.17246896585036	7.69867536001546	3.11551751254353e-10	1.30713268081826e-07	9.17164629131235e-08	SOX8/FOXC1/NGFR/CELSR1/CEACAM1/IL7/DNAH11/SERPINE1/GATA3/LIPA/COL1A1/VEGFA/IGFBP5/RUNX2/HS3ST3B1/SIX1/RARA/IL6/PRICKLE1/PML/GATA6/OSR1/SHROOM2/VEGFC/EDA/KIF26B/FZD5/SPRY1/CITED2/OSR2/CEBPB/EXT1/CSF1/SULF2/HOXC4/TGM2/TREX1	37
GO:0002009	morphogenesis of an epithelium	26/201	428/14201	0.0607476635514019	4.29192820942019	8.28583249350423	3.67506281783792e-10	1.3877037200156e-07	9.73698222368216e-08	SOX8/NGFR/CELSR1/CEACAM1/GATA3/VEGFA/IGFBP5/HS3ST3B1/SIX1/PODXL/RARA/KLF4/ARHGAP24/PRICKLE1/PML/OSR1/VEGFC/KIF26B/FZD5/SPRY1/FOXQ1/CITED2/RET/EXT1/CSF1/TGM2	26
