ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0061138	morphogenesis of a branching epithelium	137	-0.532864968272076	-2.25460650216912	1e-10	2.40967741935484e-09	1.39601018675722e-09	3505	tags=42%, list=16%, signal=35%	PROX1/FZD5/LAMA1/DCHS1/DLG5/PKD1/PLXNA1/DLL4/HS3ST3A1/WNT2B/BMP2/IHH/TBX2/GRB2/BCL2/RBM15/SPINT2/ILK/LEF1/PHB2/PPP1CA/GPC3/CTNNB1/EPHA2/SMAD4/TIE1/WNT6/RDH10/GREM1/ENG/YAP1/LRP5/PAK1/ADM/SIRT6/BMP4/NOTCH1/SPRY1/FKBPL/MYC/SRC/TMEM59L/WT1/CTSZ/NRARP/SOCS3/SOX8/SPRY2/GDNF/SPINT1/DDR1/PLXND1/TGM2/PDGFA/TGFBR2/NPNT/AREG
GO:0006457	protein folding	200	-0.498429528911299	-2.20129816272478	1e-10	2.40967741935484e-09	1.39601018675722e-09	6471	tags=55%, list=30%, signal=39%	PDCL3/UGGT1/ERO1B/FKBP1B/DNAJC10/HYPK/PFDN5/DNAJB2/WDR83OS/DNAJA1/DNAJA2/DNAJC21/PRDX4/TBCD/HSP90AB3P/DFFA/TELO2/PPIG/TCP1/HSPA1L/HSPA13/CCT4/FKBP9/DNAJB13/FKBP8/ANP32E/TBCC/AHSA1/FKBP11/DNAJB5/PDIA6/DNAJC2/PPWD1/CHCHD4/RP2/DNAJC25/PPIB/DNAJC3/ERO1A/HSP90AB2P/CANX/CCT8/ERP27/CWC27/DNAJA3/TRAP1/ENGASE/SDHAF4/ERP29/P3H1/CCT5/FKBP10/HSP90B1/CCT7/CCT3/NPPB/CDC37/BAG1/FKBP2/PFDN2/PPIE/CCT2/DNAJB14/HSPH1/HSPBP1/FKBP4/RUVBL2/PPIC/TBCB/TOR1B/CCT6A/GRN/QSOX1/ZPR1/CRYAA/CHORDC1/MOGS/NGLY1/TBCEL/TTC1/DNAJC7/SIL1/DNAJC18/UNC45A/PDRG1/PDIA4/DNAJC5/DNAJC1/HSPA4/HSPA6/DNAJB1/CLPX/PDIA2/DNAJC24/QSOX2/DNLZ/SDF2/AIP/HSPA8/WFS1/LMAN2L/SDF2L1/BAG2/HSPA1B/CDC37L1/LTBP4/HYOU1/HSPA1A/DNAJB4
GO:0045229	external encapsulating structure organization	227	-0.490824292840115	-2.19467221765975	1e-10	2.40967741935484e-09	1.39601018675722e-09	5727	tags=50%, list=26%, signal=37%	MAD2L2/TGFBR1/PLOD3/CST3/PRDX4/LAMB2/MMP15/SMPD3/COLGALT1/ECM2/CTSS/COL8A2/HPN/ADAM10/GAS2/SCX/ADAMTS13/COL6A1/PHLDB2/SERPINH1/COL7A1/SOX9/EFEMP2/TNFRSF1B/TGM1/ERO1A/WDR72/MATN2/PPARG/ADAMTS14/CTSK/COL24A1/CLASP2/ADAMTS9/NOXO1/COL4A5/TNXB/LAMB1/LAMA1/LOXL4/FKBP10/LARGE1/PLOD2/POMGNT1/APP/BMP2/IHH/CTSV/MMP1/ADAMTS10/MYO1E/CAV1/TGFBI/COL9A2/ADAM15/ANXA2/ADAM8/APBB2/ADAMTS6/QSOX1/SPINT2/ELN/ADAMTSL5/MATN3/FURIN/VPS33B/THSD4/AXIN2/ADAMTSL2/MMP19/MMP3/COL1A1/OLFML2A/CCN1/ADAMTS7/PBXIP1/MPZL3/ADAMTS4/SMAD4/TIE1/NFKB2/GAS6/GREM1/MMP24/ENG/CHADL/COMP/MMP20/ADAMTS2/MMP23B/ITGB1/NOTCH1/TGFBR3/EMILIN1/RGCC/TNFRSF1A/WT1/CARMIL2/LOXL2/ITGA2/FSCN1/LTBP4/SPINT1/COL9A3/COL16A1/DDR1/PHLDB1/MMP2/COLGALT2/COL4A2/ELF3/NPNT/CSGALNACT1
GO:0030198	extracellular matrix organization	226	-0.489744924657116	-2.18923224858055	1e-10	2.40967741935484e-09	1.39601018675722e-09	5727	tags=50%, list=26%, signal=37%	MAD2L2/TGFBR1/PLOD3/CST3/PRDX4/LAMB2/MMP15/SMPD3/COLGALT1/ECM2/CTSS/COL8A2/HPN/ADAM10/GAS2/SCX/ADAMTS13/COL6A1/PHLDB2/SERPINH1/COL7A1/SOX9/EFEMP2/TNFRSF1B/ERO1A/WDR72/MATN2/PPARG/ADAMTS14/CTSK/COL24A1/CLASP2/ADAMTS9/NOXO1/COL4A5/TNXB/LAMB1/LAMA1/LOXL4/FKBP10/LARGE1/PLOD2/POMGNT1/APP/BMP2/IHH/CTSV/MMP1/ADAMTS10/MYO1E/CAV1/TGFBI/COL9A2/ADAM15/ANXA2/ADAM8/APBB2/ADAMTS6/QSOX1/SPINT2/ELN/ADAMTSL5/MATN3/FURIN/VPS33B/THSD4/AXIN2/ADAMTSL2/MMP19/MMP3/COL1A1/OLFML2A/CCN1/ADAMTS7/PBXIP1/MPZL3/ADAMTS4/SMAD4/TIE1/NFKB2/GAS6/GREM1/MMP24/ENG/CHADL/COMP/MMP20/ADAMTS2/MMP23B/ITGB1/NOTCH1/TGFBR3/EMILIN1/RGCC/TNFRSF1A/WT1/CARMIL2/LOXL2/ITGA2/FSCN1/LTBP4/SPINT1/COL9A3/COL16A1/DDR1/PHLDB1/MMP2/COLGALT2/COL4A2/ELF3/NPNT/CSGALNACT1
GO:0043062	extracellular structure organization	227	-0.487866231088774	-2.1814455374842	1e-10	2.40967741935484e-09	1.39601018675722e-09	5727	tags=49%, list=26%, signal=37%	MAD2L2/TGFBR1/PLOD3/CST3/PRDX4/LAMB2/MMP15/SMPD3/COLGALT1/ECM2/CTSS/COL8A2/HPN/ADAM10/GAS2/SCX/ADAMTS13/COL6A1/PHLDB2/SERPINH1/COL7A1/SOX9/EFEMP2/TNFRSF1B/ERO1A/WDR72/MATN2/PPARG/ADAMTS14/CTSK/COL24A1/CLASP2/ADAMTS9/NOXO1/COL4A5/TNXB/LAMB1/LAMA1/LOXL4/FKBP10/LARGE1/PLOD2/POMGNT1/APP/BMP2/IHH/CTSV/MMP1/ADAMTS10/MYO1E/CAV1/TGFBI/COL9A2/ADAM15/ANXA2/ADAM8/APBB2/ADAMTS6/QSOX1/SPINT2/ELN/ADAMTSL5/MATN3/FURIN/VPS33B/THSD4/AXIN2/ADAMTSL2/MMP19/MMP3/COL1A1/OLFML2A/CCN1/ADAMTS7/PBXIP1/MPZL3/ADAMTS4/SMAD4/TIE1/NFKB2/GAS6/GREM1/MMP24/ENG/CHADL/COMP/MMP20/ADAMTS2/MMP23B/ITGB1/NOTCH1/TGFBR3/EMILIN1/RGCC/TNFRSF1A/WT1/CARMIL2/LOXL2/ITGA2/FSCN1/LTBP4/SPINT1/COL9A3/COL16A1/DDR1/PHLDB1/MMP2/COLGALT2/COL4A2/ELF3/NPNT/CSGALNACT1
GO:0030036	actin cytoskeleton organization	615	-0.431950829033105	-2.0835247608991	1e-10	2.40967741935484e-09	1.39601018675722e-09	5727	tags=42%, list=26%, signal=32%	MAD2L2/ACTN3/AMOTL1/TGFBR1/MET/AKAP13/PDGFRB/TAOK2/NF2/CORO1A/TWF1/RHOF/RAC3/ACTG1/ECT2/MYO18A/CELSR1/PLEK2/NPHP4/SMTN/INPP5K/IKBKB/DAAM1/INF2/TMSB15B/GMFB/ASAP3/MYH9/ROCK2/TRIP10/DBNL/CDC42EP2/CORO7/RND1/C9orf72/NUAK2/KLHL17/AMOT/GAS2/ARFIP2/TLN1/BAIAP2L1/PHLDB2/KANK4/EDN1/CAPZA2/SH3D21/SCIN/ARHGEF16/APOA1/PICK1/PDLIM5/GBA2/ABI1/BAIAP2/STAU2/SHC1/PPP1R9B/EZR/ENAH/ALKBH4/RHOB/FGD4/ADD3/FSCN2/RHPN2/ARHGAP12/SIX4/FHDC1/FGD3/ARHGEF19/PPM1F/CD2AP/CLASP2/TPM2/SHROOM4/LMOD3/MKLN1/RAP2A/PRKCI/FCHSD1/PIK3CA/PLS3/TAGLN3/CARMIL1/ARAP1/MARCKS/TNXB/PROX1/TMOD3/TCAP/MYH14/FCHSD2/EPB41/AGAP2/CYRIB/SAMD14/INPPL1/PPP1R9A/DIXDC1/DBN1/ARHGAP18/PACSIN2/AP1AR/CYTH2/FLNB/HSP90B1/RASA1/SVIL/ARPC5/TESK2/BRSK2/STARD8/PLS1/CDC42BPG/KPTN/SH2B2/TBCK/MYO1C/RHOQ/FMNL3/LIMA1/MYO18B/ALDOA/FAM171A1/GAS7/TRPM2/TMOD1/AIF1L/RHOV/BIN3/SPTBN4/ZEB2/CCR7/PDLIM7/STRIP1/TMSB10/MICAL2/ARHGEF5/MYO1E/AMOTL2/ITPKA/ARPC1B/ARFIP1/PREX1/GRB2/FAT1/MYH16/SH3KBP1/SNX9/CLDN3/FLII/BCL2/MYOM3/PLEC/PRKD1/ELN/TWF2/DMTN/SYDE1/CORO2B/RDX/TMSB4X/CCN2/WDR1/PLEKHH2/NOSTRIN/FMNL1/SPTAN1/MICALL2/PDLIM4/SPTBN1/MICAL1/RAPGEF3/ARHGEF10L/TAGLN2/CTTN/BST2/RHPN1/PYCARD/KRT8/NCK1/CAPG/KANK3/RAP1GDS1/KIRREL1/PKP3/PPFIA1/SMAD4/F11R/ATXN3/RHOD/HRAS/MYO1A/JAM3/ACTR3/CAP1/BCAR1/AVIL/NKX2-5/TENM1/ARHGEF18/EHD2/PTK7/LLGL1/ESAM/PAK1/TRPV4/ARRB1/DNM2/CORO1B/ITGB1/LLGL2/RHOC/PALLD/RND3/C15orf62/SYNPO/CYFIP1/SLC4A2/CDC42EP5/HIP1R/TRIM27/DAPK3/RHOBTB1/SPTBN2/CAPN10/LIMK2/RAC2/CNN1/TNIK/RNH1/RGCC/SRC/KANK1/CARMIL2/S100A10/PAWR/FSCN1/MYL9/FRMD3/RTKN/F2RL1/VASP/TNNT1/BIN1/FLNA/SMTNL2/ITGB5/ARHGEF2/FRMD5/NEDD9/PDGFA/KRT19/ANKRD1/ASB2/CAP2
GO:0097435	supramolecular fiber organization	700	-0.424866032647544	-2.06401554079539	1e-10	2.40967741935484e-09	1.39601018675722e-09	4766	tags=37%, list=22%, signal=30%	SHH/AMOT/GAS2/SCX/EPPK1/ARFIP2/TLN1/BAIAP2L1/COL6A1/PHLDB2/KANK4/TOGARAM1/EDN1/CAPZA2/SH3D21/SERPINH1/SCIN/APOA1/PICK1/GBA2/HOOK3/ABI1/BAIAP2/CCDC88C/EFEMP2/PPP1R9B/EZR/ENAH/TUBB1/RHOB/ADD3/KRT12/FSCN2/CDKN1B/ERO1A/NIN/RHPN2/WDR72/ARHGAP12/SIX4/B4GALT7/FHDC1/ADAMTS14/PPM1F/CD2AP/CLASP2/TPM2/SHROOM4/LMOD3/PRKCI/FCHSD1/PIK3CA/PLS3/TAGLN3/CARMIL1/ARAP1/MARCKS/TNXB/PROX1/TMOD3/TCAP/FCHSD2/CYRIB/AKAP9/SAMD14/INPPL1/PPP1R9A/TREM2/FSD1/LOXL4/DBN1/FKBP10/ARHGAP18/AP1AR/HSP90B1/RASA1/SVIL/PLOD2/ARPC5/PLS1/KPTN/SLK/MYO1C/RHOQ/KRT20/PFDN2/DVL1/MAPT/LIMA1/APP/HOOK2/ALDOA/NME7/FAM171A1/GAS7/AXIN1/TMOD1/AIF1L/RHOV/BIN3/SSNA1/SPAST/SPTBN4/ZEB2/CCR7/TMSB10/DSP/MICAL2/ARHGEF5/MYO1E/FKBP4/ARPC1B/ARFIP1/TBCB/PREX1/GRB2/FAT1/NAV3/MYH16/ANXA2/SH3KBP1/MZT1/SNX9/FLII/TPPP/BCL2/MYOM3/HAUS7/CLIP2/VHL/PLEC/PRKD1/ELN/TWF2/DMTN/FURIN/SPEF1/CORO2B/HDGFL3/CDKN2A/RDX/TMSB4X/CCN2/PARK7/CCDC88B/WDR1/KATNA1/BLOC1S2/PLEKHH2/NOSTRIN/VPS33B/THSD4/SPTAN1/MICALL2/TPPP3/SPTBN1/MICAL1/RAPGEF3/ARHGEF10L/HAUS2/TAGLN2/COL1A1/CTTN/RHPN1/PYCARD/KRT8/NCK1/CAPG/ADAMTS7/KANK3/RAP1GDS1/KIRREL1/KRT17/PPFIA1/SMAD4/CLIP4/F11R/NDE1/RHOD/MYO1A/GREM1/TUBGCP6/RPS3/ACTR3/CAP1/LTBP2/BCAR1/CHADL/COMP/BFSP1/AVIL/NKX2-5/TENM1/ARHGEF18/ESAM/KRT15/LDLR/TUBB4A/PAK1/MAP1B/ADAMTS2/NUMA1/TRPV4/KLHL24/TRIM54/ARRB1/HSPA8/DNM2/CORO1B/ITGB1/RHOC/RND3/C15orf62/SYNPO/CYFIP1/CDC42EP5/HIP1R/TRIM27/DAPK3/RHOBTB1/SPTBN2/LIMK2/RAC2/CNN1/RNH1/EMILIN1/RGCC/SRC/KANK1/APC2/CRIPT/HSPA1B/CARMIL2/LOXL2/S100A10/KRT37/PAWR/FSCN1/MYL9/LTBP4/F2RL1/VASP/TUBA1A/TNNT1/HSPA1A/KRT23/BIN1/FLNA/EML2/COLGALT2/ITGB5/ARHGEF2/KRT80/NEDD9/KRT19/ANKRD1/CAP2
GO:0002009	morphogenesis of an epithelium	378	-0.440463174497714	-2.05435422839327	1e-10	2.40967741935484e-09	1.39601018675722e-09	4904	tags=39%, list=22%, signal=30%	MYO9A/DLX3/SUFU/BCL10/SHH/INTU/PHLDB2/RGMA/HS2ST1/EDN1/CEP290/FOXQ1/LRG1/NKD1/RPS7/ADAM17/SOX9/FZD3/RHOB/KRT12/CXCR4/ARHGAP12/SIX4/TBX4/WNT11/JAG2/CLASP2/FIGNL2/HBEGF/PROX1/TCAP/WDR83/FZD5/LAMA1/JHY/DCHS1/FZD6/DLG5/BBS7/PKD1/PLXNA1/DLL4/BRSK2/ASTN2/HS3ST3A1/DVL1/RIPK4/VANGL2/CD151/SOX18/CTHRC1/FUZ/WNT2B/MSN/BMP2/IHH/TBX2/MICAL2/LIN7C/LZTS2/DEAF1/GRB2/FAT1/ITGA5/BCL2/RBM15/LIF/SPINT2/ITGAV/ILK/WDR1/LEF1/PHB2/PPP1CA/FOLR1/ITGAX/GPC3/KDF1/CCN1/CTNNB1/SEMA4C/EPHA2/KRT17/SMAD4/TIE1/WNT6/STK3/GRSF1/RDH10/GREM1/WNT7B/NDRG4/ENG/IFT20/APAF1/YAP1/NKX2-5/PTK7/LRP5/PAK1/ADM/SIRT6/GORAB/NTN1/BMP4/RAB10/ITGB1/PIK3CD/EGFR/RHOC/NOTCH1/SPRY1/CCDC103/ID4/MTHFD1L/FKBPL/MYC/SRC/OSR1/RARG/TMEM59L/WT1/TGFB1I1/CTSZ/NRARP/CARMIL2/SOCS3/SOX8/VASP/SPRY2/KLF4/GDNF/SPINT1/DDR1/PLXND1/MMP2/FLNA/TGM2/NGFR/ITGB5/PDGFA/JAG1/TGFBR2/ASB2/NPNT/AREG
GO:0030029	actin filament-based process	681	-0.419545865433927	-2.03403741721743	1e-10	2.40967741935484e-09	1.39601018675722e-09	5727	tags=41%, list=26%, signal=31%	MAD2L2/ACTN3/GPD1L/AMOTL1/TGFBR1/MET/AKAP13/PDGFRB/TAOK2/NF2/CORO1A/TWF1/RHOF/RAC3/ACTG1/ECT2/MYO18A/TNNC1/CELSR1/PLEK2/NPHP4/SMTN/INPP5K/IKBKB/DAAM1/INF2/TMSB15B/GMFB/ASAP3/MYH9/ROCK2/KCNN2/TRIP10/DBNL/CDC42EP2/GJC1/CORO7/RND1/C9orf72/NUAK2/KLHL17/AMOT/GAS2/ARFIP2/TLN1/BAIAP2L1/PHLDB2/KANK4/ATP1A1/EDN1/CAPZA2/SH3D21/SCIN/ARHGEF16/APOA1/MYL6/PICK1/PDLIM5/GBA2/ABI1/BAIAP2/STAU2/CCDC88C/SHC1/SCN3B/PPP1R9B/EZR/ENAH/ALKBH4/RHOB/FGD4/ADD3/FSCN2/RHPN2/ARHGAP12/SIX4/FHDC1/SCN11A/FGD3/ARHGEF19/PPM1F/CD2AP/CLASP2/TPM2/SHROOM4/LMOD3/MKLN1/RAP2A/PRKCI/FCHSD1/PIK3CA/PLS3/TAGLN3/CARMIL1/ARAP1/FRMD6/MARCKS/TNXB/RANGRF/PROX1/TMOD3/TCAP/MYH14/FCHSD2/EPB41/AGAP2/CYRIB/AKAP9/SAMD14/INPPL1/PPP1R9A/DIXDC1/DBN1/ARHGAP18/PACSIN2/AP1AR/CYTH2/FLNB/HSP90B1/RASA1/SVIL/ARPC5/TESK2/BRSK2/STARD8/PLS1/CDC42BPG/KPTN/SH2B2/TBCK/MYO1C/RHOQ/FMNL3/LIMA1/TRPM4/MYO18B/ALDOA/FAM171A1/GAS7/TRPM2/TMOD1/AIF1L/FNBP1L/RHOV/BIN3/SPTBN4/ZEB2/CCR7/PDLIM7/STRIP1/TMSB10/PDE4D/DSP/MICAL2/ARHGEF5/MYO1E/AMOTL2/ITPKA/ARPC1B/ARFIP1/PREX1/CAV1/GRB2/FAT1/MYH16/SH3KBP1/SNX9/CLDN3/FLII/MYL6B/BCL2/MYOM3/PLEC/PRKD1/ELN/TWF2/DMTN/SYDE1/CORO2B/DSG2/RDX/TMSB4X/CCN2/WDR1/ANK2/PLEKHH2/NOSTRIN/FMNL1/SPTAN1/MICALL2/PDLIM4/SPTBN1/MICAL1/RAPGEF3/ARHGEF10L/TAGLN2/CTTN/BST2/RHPN1/PYCARD/KRT8/NCK1/CAPG/KANK3/RAP1GDS1/KIRREL1/PKP3/PPFIA1/SMAD4/F11R/ATXN3/RHOD/HRAS/MYO1A/JAM3/ACTR3/CAP1/KCNH2/BCAR1/AVIL/NKX2-5/TENM1/ARHGEF18/EHD2/PTK7/LLGL1/ESAM/PAK1/TRPV4/ABRACL/ARRB1/DNM2/CORO1B/ITGB1/LLGL2/SCN1B/RHOC/PALLD/RND3/C15orf62/SYNPO/CYFIP1/SLC4A2/CDC42EP5/HIP1R/TRIM27/DAPK3/RHOBTB1/SPTBN2/CAPN10/LIMK2/RAC2/CNN1/TNIK/RNH1/RGCC/SRC/KANK1/CARMIL2/S100A10/PAWR/FSCN1/MYL9/FRMD3/RTKN/F2RL1/VASP/TNNT1/BIN1/FLNA/SMTNL2/ITGB5/ARHGEF2/FRMD5/NEDD9/PDGFA/KRT19/ANKRD1/ASB2/CAP2
GO:0048729	tissue morphogenesis	462	-0.427280828791786	-2.02656139475056	1e-10	2.40967741935484e-09	1.39601018675722e-09	4906	tags=38%, list=22%, signal=30%	BMPR1A/MYO9A/DLX3/SUFU/BCL10/SHH/SCX/INTU/PHLDB2/RGMA/HS2ST1/EDN1/CEP290/FOXQ1/NRG1/LRG1/NKD1/RPS7/ADAM17/SOX9/EFEMP2/FZD3/RHOB/KRT12/CXCR4/ARHGAP12/TNNI1/MSX1/SIX4/TBX4/WNT11/JAG2/CLASP2/ARMC5/FIGNL2/TLX2/HBEGF/PROX1/TCAP/WDR83/FZD5/LAMA1/JHY/DCHS1/FZD6/DLG5/TNNI3/BBS7/PKD1/PLXNA1/ITGB4/DLL4/BRSK2/ASTN2/HS3ST3A1/DVL1/RIPK4/VANGL2/CD151/SOX18/CTHRC1/FUZ/WNT2B/AXIN1/MSN/HEY1/BMP2/IHH/TBX2/DSP/MICAL2/LIN7C/LZTS2/DEAF1/GRB2/FAT1/EGLN1/ITGA5/EXT2/BCL2/RBM15/LIF/TRIM15/SPINT2/NOS3/ITGAV/ILK/GCNT4/WDR1/LEF1/PHB2/PPP1CA/FOLR1/ITGAX/GPC3/KDF1/CCN1/CTNNB1/CPLANE2/SEMA4C/EPHA2/KRT17/SMAD4/GCNT3/TIE1/WNT6/STK3/GRSF1/RDH10/GREM1/WNT7B/NDRG4/ENG/IFT20/SMAD7/APAF1/FZD2/YAP1/NKX2-5/TXNRD1/PTK7/LRP5/PAK1/ADM/ITGA3/SIRT6/DKK1/GORAB/NTN1/BMP4/RAB10/ITGB1/PIK3CD/EGFR/RHOC/NOTCH1/SPRY1/CCDC103/TGFBR3/ID4/MTHFD1L/FKBPL/MYC/SRC/OSR1/RARG/TMEM59L/WT1/TGFB1I1/CTSZ/NRARP/CARMIL2/SOCS3/ITGA2/SOX8/VASP/SPRY2/KLF4/GCNT1/GDNF/SPINT1/DDR1/PLXND1/MMP2/FLNA/TGM2/NGFR/ITGB5/PDGFA/NRP2/JAG1/TGFBR2/ANKRD1/ASB2/NPNT/AREG
