ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009887	animal organ morphogenesis	55/387	723/13345	0.0760719225449516	2.62320363401132	7.75546028849309	3.95619270431808e-11	1.59157632494716e-07	1.25432130793748e-07	SOX8/PAX6/NGFR/NTN1/SMARCD3/MMP2/SEMA6A/ASB2/CTSZ/JAG1/SMAD7/ACP5/COMP/TMEM59L/SERPINE1/ENG/DKK1/AREG/SOX6/TRPV4/MDFI/ID3/NRP2/SOX4/EREG/MMP20/STRA6/GATA6/OSR1/DLX1/EGFR/CSGALNACT1/NOTCH1/ANKRD1/APCDD1/EPHB1/ITGA2/GREM1/CCDC103/TUBA1A/GDNF/NPNT/WNT10B/ID4/RARG/DSCAML1/TH/FZD2/NKX2-5/WT1/GCNT1/SAMD11/PDGFA/ALPK2/TGM2	55
GO:0007155	cell adhesion	71/387	1100/13345	0.0645454545454545	2.22573408503641	7.33403067794685	8.57192075994225e-11	1.72424186086238e-07	1.35887501731295e-07	ITGA2B/CD9/CLDN11/TSPAN32/NTN1/MCAM/SMARCD3/COL16A1/MMP2/FXYD5/SEMA6A/UNC13D/MYL9/JAG1/SMAD7/RGCC/ICAM5/COMP/SERPINE1/ENG/ICAM2/NRXN2/TRPV4/ZAP70/RND3/PARD3B/NRP2/ADGRE5/SOX4/TNFSF9/TNFSF14/RAC2/THEMIS2/ETS1/KLF4/COL6A2/TPBG/EGFR/NOTCH1/PTPRJ/IL18/SLC7A11/EPHB1/FZD7/SPON2/FBLIM1/LAPTM5/S100A11/ITGA2/JAM3/GREM1/AXL/LY6D/NPNT/WNT10B/FUT3/FRMD5/EGFL7/DSCAML1/PDIA2/THBS2/GCNT1/CLDN4/LAMB3/SIRPA/NRARP/L1CAM/TGM2/CLDN9/CLDN23/PCDHGB5	71
GO:0035295	tube development	59/387	844/13345	0.0699052132701422	2.41055573925077	7.31675662386735	2.09656927286596e-10	2.81149939491325e-07	2.21574268416571e-07	SOX8/ITGA2B/ASB4/CRLF1/PAX6/NGFR/NTN1/VASH1/MCAM/ADAMTS2/MMP2/SEMA6A/PCSK5/ASB2/CTSZ/JAG1/SMAD7/RGCC/COMP/TMEM59L/SERPINE1/ENG/AREG/NRP2/SOX4/EREG/CHI3L1/LOXL2/COL4A2/ETS1/KLF4/STRA6/ANXA3/GATA6/GPR161/OSR1/EGFR/NOTCH1/PTPRJ/IL18/SLC7A11/EPHB1/INHBB/JAM3/SPINT1/GREM1/CCDC103/ABCA3/GDNF/NPNT/ATOH8/RARG/EGFL7/NKX2-5/WT1/THBS2/PDGFA/NRARP/TGM2	59
GO:0035239	tube morphogenesis	51/387	675/13345	0.0755555555555556	2.60539764570772	7.3973422427941	2.82142415060287e-10	2.83764733946883e-07	2.23634987937259e-07	SOX8/ITGA2B/ASB4/NGFR/NTN1/VASH1/MCAM/MMP2/SEMA6A/ASB2/CTSZ/JAG1/SMAD7/RGCC/COMP/TMEM59L/SERPINE1/ENG/AREG/NRP2/SOX4/EREG/CHI3L1/LOXL2/COL4A2/ETS1/KLF4/STRA6/ANXA3/GATA6/OSR1/EGFR/NOTCH1/PTPRJ/IL18/EPHB1/JAM3/SPINT1/GREM1/CCDC103/GDNF/NPNT/ATOH8/RARG/EGFL7/NKX2-5/WT1/THBS2/PDGFA/NRARP/TGM2	51
GO:0009888	tissue development	84/387	1460/13345	0.0575342465753425	1.98396516937454	6.88471666087877	3.96092023629141e-10	3.18695642212007e-07	2.51164036878099e-07	MCUB/SOX8/CRLF1/PAX6/NGFR/NTN1/SEMA3A/MMP2/SEMA6A/CHADL/ASB2/CTSZ/JAG1/SMAD7/RGCC/COMP/TMEM59L/SERPINE1/ENG/DKK1/KRT23/KRT37/AREG/SOX6/TRPV4/RBM24/BMP8B/ID3/NRP2/DUSP4/SOX4/EREG/CHI3L1/LOXL2/COL4A2/KLF4/MMP20/STRA6/DUSP5/GATA6/GPR161/OSR1/EGFR/CSGALNACT1/NOTCH1/ANKRD1/IL18/SLC7A11/APCDD1/EPHB1/FZD7/CARMIL2/CCDC78/ITGA2/SPINT1/GREM1/CCDC103/KRT80/GDNF/NPNT/ATOH8/AGPAT2/WNT10B/KRT19/KRT15/ID4/RARG/PSAPL1/FZD2/NKX2-5/SOCS3/WT1/MAPK11/GCNT1/ISG15/CLDN4/S100A4/LAMB3/SLC39A10/PDGFA/NRARP/ARC/ALPK2/TGM2	84
GO:0072359	circulatory system development	60/387	890/13345	0.0674157303370786	2.32471039108092	7.06925408855921	6.02301998925008e-10	4.03843490279218e-07	3.18269056274057e-07	ITGA2B/ASB4/PAX6/NGFR/VASH1/MCAM/SMARCD3/MMP2/SEMA6A/PCSK5/ASB2/JAG1/SMAD7/RGCC/COMP/SERPINE1/ENG/DKK1/SOX6/RBM24/ID3/NRP2/BICC1/SOX4/EREG/CHI3L1/LOXL2/COL4A2/ETS1/KLF4/STRA6/ANXA3/GATA6/OSR1/EGFR/NOTCH1/ANKRD1/PTPRJ/IL18/EPHB1/FZD7/JAM3/SPINT1/GREM1/CCDC103/LUZP1/EGFL7/TH/FZD2/NKX2-5/RIPPLY3/ADAP2/SOCS3/WT1/MAPK11/THBS2/PDGFA/NRARP/ALPK2/TGM2	60
GO:0009653	anatomical structure morphogenesis	104/387	2020/13345	0.0514851485148515	1.77537288612582	6.53727419202848	1.08991897733274e-09	6.12082800496947e-07	4.82382457473947e-07	SOX8/ITGA2B/ASB4/PAX6/CD9/EHD2/DKK3/NGFR/NTN1/VASH1/SEMA3A/MCAM/SMARCD3/MMP2/SEMA6A/UNC13D/PCSK5/MFNG/ASB2/CTSZ/MYL9/JAG1/SMAD7/ACP5/RGCC/TNNT1/COMP/TMEM59L/SERPINE1/ENG/DKK1/AREG/SOX6/TRPV4/MDFI/ID3/NRP2/DUSP4/SOX4/EREG/TNFSF14/CHI3L1/LOXL2/COL4A2/ETS1/KLF4/IER3/MMP20/STRA6/DUSP5/ANXA3/GATA6/OSR1/DLX1/TPBG/EGFR/CSGALNACT1/NOTCH1/ANKRD1/PTPRJ/IL18/TNIK/APCDD1/EPHB1/FZD7/NBL1/CARMIL2/FBLIM1/ITGA2/JAM3/SPINT1/GREM1/CCDC103/TUBA1A/CDC42EP5/GDNF/NPNT/ATOH8/WNT10B/KRT19/KNDC1/ID4/RARG/EGFL7/DSCAML1/TH/FZD2/NKX2-5/SOCS3/WT1/THBS2/GCNT1/SAMD11/TRPV2/C15orf62/CLDN4/LAMB3/PDGFA/S100A6/NRARP/ARC/ALPK2/L1CAM/TGM2	104
GO:0048731	system development	140/387	3049/13345	0.0459166939980321	1.5833547323094	6.33733524489609	1.21716689136852e-09	6.12082800496947e-07	4.82382457473947e-07	SOX8/ITGA2B/ASB4/CRLF1/PAX6/TENM1/CD9/CLDN11/ZIC2/DKK3/RASGRF1/NGFR/NTN1/HES2/VASH1/SEMA3A/MCAM/SMARCD3/P2RX5/ADAMTS2/MMP2/SEMA6A/PCSK5/BIK/CHADL/ASB2/CTSZ/BIRC7/SNPH/JAG1/SMAD7/ACP5/RGCC/ACSBG1/ICAM5/GRIN2D/COMP/TMEM59L/SERPINE1/ENG/DKK1/AREG/NRXN2/SOX6/TRPV4/RBM24/CCR6/MDFI/APC2/CHD5/BMP8B/ID3/SLC2A1/NRP2/BICC1/PLP1/SOX4/EREG/SDCBP2/SYNGR3/CHAC1/NPAS1/CHI3L1/TTC9/LOXL2/COL4A2/ETS1/AVIL/BIN1/KLF4/STRA6/ANXA3/GATA6/IGSF3/GPR161/OSR1/DLX1/TPBG/EGFR/CSGALNACT1/NOTCH1/ANKRD1/PTPRJ/IL18/SLC7A11/TNIK/APCDD1/EPHB1/FZD7/BATF/LHFPL4/EXTL1/NBL1/CPAMD8/INHBB/ITGA2/JAM3/SPINT1/GREM1/CCDC103/TUBA1A/AXL/KLK6/ABCA3/DDIT4/GDNF/NPNT/ATOH8/LUZP1/WNT10B/KNDC1/ID4/RARG/EGFL7/CLCF1/GRIN1/DSCAML1/PSAPL1/TH/FZD2/NKX2-5/RIPPLY3/ADAP2/SOCS3/WT1/MAPK11/THBS2/GCNT1/SAMD11/TRPV2/PDGFA/S100A6/NRARP/ARC/ALPK2/L1CAM/TGM2/GRIN2B/PCDHGB5/SSTR3	140
GO:0048646	anatomical structure formation involved in morphogenesis	59/387	894/13345	0.0659955257270693	2.2757371856014	6.8242883476728	1.92811806735136e-09	8.61868776106059e-07	6.79238785831848e-07	SOX8/ITGA2B/PAX6/CD9/EHD2/NGFR/VASH1/MCAM/SMARCD3/MMP2/SEMA6A/UNC13D/MFNG/MYL9/JAG1/RGCC/TNNT1/SERPINE1/ENG/DKK1/NRP2/DUSP4/EREG/TNFSF14/CHI3L1/LOXL2/COL4A2/ETS1/KLF4/MMP20/STRA6/DUSP5/ANXA3/GATA6/OSR1/NOTCH1/ANKRD1/PTPRJ/IL18/EPHB1/FZD7/ITGA2/JAM3/SPINT1/GREM1/GDNF/ATOH8/WNT10B/KRT19/KNDC1/RARG/EGFL7/NKX2-5/WT1/THBS2/LAMB3/PDGFA/NRARP/TGM2	59
GO:0051239	regulation of multicellular organismal process	108/387	2177/13345	0.0496095544327056	1.71069639251797	6.26404882568114	3.86673706081016e-09	1.55558831956393e-06	1.2259591607537e-06	MCUB/SOX8/PAX6/CD9/KCNH2/TSPAN32/NGFR/NTN1/HES2/VASH1/LMCD1/SEMA3A/GPR137B/SMARCD3/MMP2/NLRP1/SEMA6A/CHADL/MYL9/JAG1/SMAD7/ELF4/ACP5/RGCC/TNNT1/GRIN2D/COMP/SERPINE1/ENG/PTGDS/DKK1/SOX6/TRPV4/HAVCR1/ZAP70/PAEP/SOX4/EREG/TNFSF9/TNFSF14/RAC2/CNN1/ZBTB46/THEMIS2/SYT11/CHI3L1/LOXL2/COL4A2/ETS1/BIN1/KLF4/MMP20/STRA6/ANXA3/GATA6/OSR1/DLX1/TPBG/EGFR/NOTCH1/PTPRJ/IL18/EPHB1/FZD7/BATF/SPON2/ACOT11/LAPTM5/INHBB/ITGA2/ALDH1A1/SPINT1/GREM1/AXL/TRPV3/GDNF/NPNT/ATOH8/AGPAT2/WNT10B/ID4/RARG/RXFP4/CLCF1/P2RY2/GRIN1/TH/NKX2-5/WT1/MAPK11/THBS2/ISG15/TRPV2/PLA2G2A/SLC39A10/PDGFA/PLCG2/SIRPA/NRARP/EPS8L3/ALPK2/L1CAM/TGM2/HSPA1B/HSPA1A/GPSM3/HS3ST5/GRIN2B	108
