ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006396	RNA processing	8/9	1127/16087	0.00709849157054126	12.6881593216997	9.62656968263594	4.78676946368559e-09	1.38816314446882e-07	6.04644563833969e-08	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0000244	spliceosomal tri-snRNP complex assembly	2/9	23/16087	0.0869565217391304	155.429951690821	17.5346814532323	6.99653865249147e-05	0.00101449810461126	0.000441886651736303	RNU5E-1/RNU5B-1	2
GO:0032774	RNA biosynthetic process	8/9	4215/16087	0.00189798339264531	3.39253987083169	4.2778475559333	0.0001526611520143	0.00125391616254985	0.000546170379332059	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0141187	nucleic acid biosynthetic process	8/9	4324/16087	0.00185013876040703	3.30702024874088	4.19724649597652	0.000185815814331613	0.00125391616254985	0.000546170379332059	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0016070	RNA metabolic process	8/9	4410/16087	0.0018140589569161	3.24252960443437	4.13543419390049	0.00021619244181894	0.00125391616254985	0.000546170379332059	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0000387	spliceosomal snRNP assembly	2/9	47/16087	0.0425531914893617	76.0614657210402	12.1925083682086	0.000296867713312569	0.00126932843436654	0.000552883528580708	RNU5E-1/RNU5B-1	2
GO:0034654	nucleobase-containing compound biosynthetic process	8/9	4615/16087	0.00173347778981582	3.09849524497412	3.99395849809715	0.000306389622088476	0.00126932843436654	0.000552883528580708	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0090304	nucleic acid metabolic process	8/9	4951/16087	0.00161583518481115	2.88821562422855	3.77800661233971	0.000524399209912911	0.0019009471359343	0.00082799875249407	RNU5E-1/RNU5B-1/SNORA71D/SNORA48/SNORA79B/SNORA71A/SNORD13/SNORA67	8
GO:0022618	protein-RNA complex assembly	2/9	210/16087	0.00952380952380952	17.0232804232804	5.5297580949512	0.00574785978879473	0.0180843408651638	0.00787702687411854	RNU5E-1/RNU5B-1	2
GO:0071826	protein-RNA complex organization	2/9	219/16087	0.0091324200913242	16.3236935565703	5.40198898912433	0.00623597960867718	0.0180843408651638	0.00787702687411854	RNU5E-1/RNU5B-1	2
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	2/9	311/16087	0.00643086816720257	11.4948195784209	4.42166664293994	0.0122603622695499	0.0280266064176415	0.0122075962617676	RNU5E-1/RNU5B-1	2
GO:0000398	mRNA splicing, via spliceosome	2/9	311/16087	0.00643086816720257	11.4948195784209	4.42166664293994	0.0122603622695499	0.0280266064176415	0.0122075962617676	RNU5E-1/RNU5B-1	2
GO:0000375	RNA splicing, via transesterification reactions	2/9	315/16087	0.00634920634920635	11.3488536155203	4.38867490544814	0.0125636511527358	0.0280266064176415	0.0122075962617676	RNU5E-1/RNU5B-1	2
GO:0006953	acute-phase response	1/9	41/16087	0.024390243902439	43.5962059620596	6.46113369214372	0.0227109105898439	0.0470440290789623	0.0204910471487313	CD163	1
GO:0008380	RNA splicing	2/9	455/16087	0.0043956043956044	7.85689865689866	3.51039050042957	0.0251905757163973	0.0487017797183682	0.0212131163927557	RNU5E-1/RNU5B-1	2
GO:0022613	ribonucleoprotein complex biogenesis	2/9	475/16087	0.00421052631578947	7.52608187134503	3.41585420617914	0.0272968127353961	0.0493395988778233	0.0214909323605764	RNU5E-1/RNU5B-1	2
GO:0006397	mRNA processing	2/9	490/16087	0.00408163265306122	7.29569160997733	3.34849939604183	0.0289232131352757	0.0493395988778233	0.0214909323605764	RNU5E-1/RNU5B-1	2
