Description	NES_A549	NES_Calu-3	NES_HepG2	NES_U937	p.adjust_A549	p.adjust_Calu-3	p.adjust_HepG2	p.adjust_U937
ribosome biogenesis	3.50872346504589	2.23973308145969	-1.76290850160231	2.25437521118113	1.04536256323777e-09	6.64354322305229e-10	4.92801266470127e-06	1.2732421875e-09
RNA splicing	3.42274837459446	1.73632084930917	-1.68022585502679	2.37771108911639	1.04536256323777e-09	7.42151167864179e-07	4.41257545896828e-06	1.2732421875e-09
rRNA processing	3.37019351025017	2.17952581028338	-1.74767664156298	2.25164229873365	1.04536256323777e-09	6.64354322305229e-10	4.86599691336624e-05	1.2732421875e-09
cytoplasmic translation	3.36977393207755	2.25279159872661	-1.90308267129834	1.70497283041305	1.04536256323777e-09	6.77026163762437e-09	1.39654261201143e-05	0.000628267144334357
rRNA metabolic process	3.35119956934999	2.33441236394732	-1.6998903914502	2.26696347069901	1.04536256323777e-09	6.64354322305229e-10	3.80408475654127e-05	1.2732421875e-09
protein folding	3.3488414546412	2.5258761560803	-2.20129816272478	1.9440844375059	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	5.85463072575512e-08
ribonucleoprotein complex biogenesis	3.34386305233046	1.70971857944715	-1.80926141497974	2.34235561035749	1.04536256323777e-09	7.95011167902773e-07	6.43643448740559e-09	1.2732421875e-09
mRNA processing	3.3354057644934	1.8159516166829	-1.52547219130106	2.39597028458383	1.04536256323777e-09	1.27282402293048e-08	0.00042520810608903	1.2732421875e-09
mitotic sister chromatid segregation	3.32743217301139	NA	NA	2.32933804899234	1.04536256323777e-09	NA	NA	1.2732421875e-09
mitotic nuclear division	3.28209500448802	1.44484888785801	NA	2.25127569144657	1.04536256323777e-09	0.00641778684818606	NA	1.2732421875e-09
RNA splicing, via transesterification reactions	3.28066653637323	1.4807891065244	-1.47231272320706	2.32831102508886	1.04536256323777e-09	0.0022062882997443	0.0039204121884236	1.2732421875e-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3.27792901598244	1.43444834335859	-1.49274173738343	2.32299601941104	1.04536256323777e-09	0.00661668108787228	0.00496322824231479	1.2732421875e-09
mRNA splicing, via spliceosome	3.27792901598244	1.43444834335859	-1.49274173738343	2.32299601941104	1.04536256323777e-09	0.00661668108787228	0.00496322824231479	1.2732421875e-09
sister chromatid segregation	3.27765724447255	1.35867252050473	NA	2.36469468186867	1.04536256323777e-09	0.0322872158497548	NA	1.2732421875e-09
translation	3.24620258556608	2.65962212576136	-1.74994030897411	2.10758840635546	1.04536256323777e-09	6.64354322305229e-10	2.40967741935484e-09	1.2732421875e-09
aerobic respiration	3.24272632761796	2.26495416653696	NA	1.95690666131143	1.04536256323777e-09	6.64354322305229e-10	NA	3.64064204942562e-07
regulation of chromosome organization	3.2416666618316	1.56406692679524	NA	2.4080722646301	1.04536256323777e-09	0.00139923824140361	NA	1.2732421875e-09
DNA replication	3.23088355589825	NA	NA	2.242087759992	1.04536256323777e-09	NA	NA	1.2732421875e-09
