Description	p.adjust_A549	p.adjust_Calu-3	p.adjust_HepG2	is_sig_A549	is_sig_Calu-3	is_sig_HepG2	n_lines_sig
detection of chemical stimulus involved in sensory perception	1.39649427744672e-47	3.76317423121361e-05	NA	1	1	NA	2
detection of chemical stimulus	1.21602581393148e-43	0.000372178381535519	NA	1	1	NA	2
detection of stimulus involved in sensory perception	1.70899715709496e-43	2.00630059353842e-05	NA	1	1	NA	2
detection of stimulus	3.35160043521739e-43	0.000185877221276474	NA	1	1	NA	2
detection of chemical stimulus involved in sensory perception of smell	2.45676871935541e-41	0.00882695528493289	NA	1	1	NA	2
sensory perception of chemical stimulus	3.74057258449823e-39	0.000538511107266757	NA	1	1	NA	2
sensory perception of smell	5.37031245258291e-35	0.0367610003175253	NA	1	1	NA	2
sensory perception	1.57797232138517e-26	0.0327210868259007	NA	1	1	NA	2
nervous system process	4.47342381237368e-18	NA	0.0323391635146047	1	NA	1	2
nucleosome assembly	1.78936347083848e-14	4.29549121042321e-41	NA	1	1	NA	2
system process	3.53475689336693e-13	NA	0.0016468695585842	1	NA	1	2
nucleosome organization	1.03717788882102e-11	1.04243560019234e-37	NA	1	1	NA	2
protein localization to CENP-A containing chromatin	1.1395635099364e-11	6.75990002563548e-18	NA	1	1	NA	2
negative regulation of megakaryocyte differentiation	1.90339229478016e-07	1.25054758440094e-11	NA	1	1	NA	2
detection of chemical stimulus involved in sensory perception of bitter taste	6.34792619342137e-07	0.014164627976869	NA	1	1	NA	2
sensory perception of bitter taste	2.34780680072698e-06	0.019775035636798	NA	1	1	NA	2
detection of chemical stimulus involved in sensory perception of taste	4.12922659893925e-06	0.019775035636798	NA	1	1	NA	2
protein-DNA complex assembly	2.95628030405994e-05	2.09771147268602e-27	NA	1	1	NA	2
protein localization to chromosome, centromeric region	0.000163074904920589	1.20939752865086e-11	NA	1	1	NA	2
regulation of megakaryocyte differentiation	0.000167924105630389	3.20016525388737e-08	NA	1	1	NA	2
protein localization to chromatin	0.000203675296496558	5.05136056077791e-12	NA	1	1	NA	2
protein-DNA complex organization	0.000249174406990614	5.74030595758849e-26	NA	1	1	NA	2
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	0.000795520779615119	0.00158615044460031	NA	1	1	NA	2
innate immune response in mucosa	0.000907229214140706	7.19652746925652e-06	NA	1	1	NA	2
megakaryocyte differentiation	0.00490958237582678	7.19652746925652e-06	NA	1	1	NA	2
mucosal immune response	0.00898156119282911	0.000153213333740314	NA	1	1	NA	2
organ or tissue specific immune response	0.0212014121347509	0.000298957613188456	NA	1	1	NA	2
flavonoid metabolic process	0.0264046646122076	0.0434347370493377	NA	1	1	NA	2
G protein-coupled receptor signaling pathway	1.95389701144976e-21	NA	NA	1	NA	NA	1
homophilic cell adhesion via plasma membrane adhesion molecules	5.20452123382995e-08	NA	NA	1	NA	NA	1
cell-cell adhesion via plasma-membrane adhesion molecules	3.92190279708376e-05	NA	NA	1	NA	NA	1
detection of external stimulus	0.000269207176521501	NA	NA	1	NA	NA	1
detection of abiotic stimulus	0.000308472850397178	NA	NA	1	NA	NA	1
detection of light stimulus	0.000875615761704929	NA	NA	1	NA	NA	1
sensory perception of taste	0.00140832783760693	NA	NA	1	NA	NA	1
metal ion transport	0.00153745573759027	NA	NA	1	NA	NA	1
phototransduction	0.00194217346295318	NA	NA	1	NA	NA	1
sodium ion transmembrane transport	0.00328864291969552	NA	NA	1	NA	NA	1
sodium ion transport	0.00377887386083326	NA	NA	1	NA	NA	1
cardiac muscle cell contraction	0.00606676046708477	NA	NA	1	NA	NA	1
defense response to bacterium	0.00898156119282911	NA	NA	1	NA	NA	1
mRNA 5'-splice site recognition	0.0135914397266378	NA	NA	1	NA	NA	1
cAMP metabolic process	0.0136988782847063	NA	NA	1	NA	NA	1
cardiac muscle cell action potential	0.0190902411062751	NA	NA	1	NA	NA	1
cardiac muscle cell action potential involved in contraction	0.0200090670038869	NA	NA	1	NA	NA	1
