Term	Direction	A549_FDR	Calu3_FDR	HepG2_FDR	U937_FDR	Lines_sig
detection of chemical stimulus involved in sensory perception	Down	1.40e-47	3.76e-05			2
detection of chemical stimulus	Down	1.22e-43	3.72e-04			2
detection of stimulus involved in sensory perception	Down	1.71e-43	2.01e-05			2
detection of stimulus	Down	3.35e-43	1.86e-04			2
detection of chemical stimulus involved in sensory perception of smell	Down	2.46e-41	8.83e-03			2
sensory perception of chemical stimulus	Down	3.74e-39	5.39e-04			2
sensory perception of smell	Down	5.37e-35	3.68e-02			2
sensory perception	Down	1.58e-26	3.27e-02			2
nervous system process	Down	4.47e-18		3.23e-02		2
nucleosome assembly	Down	1.79e-14	4.30e-41			2
system process	Down	3.53e-13		1.65e-03		2
nucleosome organization	Down	1.04e-11	1.04e-37			2
protein localization to CENP-A containing chromatin	Down	1.14e-11	6.76e-18			2
negative regulation of megakaryocyte differentiation	Down	1.90e-07	1.25e-11			2
detection of chemical stimulus involved in sensory perception of bitter taste	Down	6.35e-07	1.42e-02			2
response to external stimulus	Up	2.04e-06	1.31e-07			2
defense response	Up	2.04e-06	1.49e-06			2
sensory perception of bitter taste	Down	2.35e-06	1.98e-02			2
detection of chemical stimulus involved in sensory perception of taste	Down	4.13e-06	1.98e-02			2
immune system process	Up	4.17e-06	4.96e-07			2
innate immune response	Up	4.47e-06	3.83e-02			2
response to biotic stimulus	Up	6.55e-06	1.36e-06			2
immune response	Up	6.55e-06	4.90e-06			2
defense response to symbiont	Up	6.55e-06	2.29e-04			2
response to other organism	Up	9.26e-06	1.42e-06			2
response to external biotic stimulus	Up	9.29e-06	1.45e-06			2
antigen processing and presentation	Up	1.90e-05	5.11e-03			2
defense response to other organism	Up	2.28e-05	6.27e-05			2
protein-DNA complex assembly	Down	2.96e-05	2.10e-27			2
positive regulation of gene expression	Up	7.25e-05	2.49e-06			2
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	8.12e-05	2.38e-02			2
