sample,condition,quant_dir
SRR27421766,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR27421766_quant
SRR27421767,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR27421767_quant
SRR29804957,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR29804957_quant
SRR29804958,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR29804958_quant
SRR29816836,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR29816836_quant
SRR29816837,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR29816837_quant
SRR30921975,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR30921975_quant
SRR30921976,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR30921976_quant
SRR32569850,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR32569850_quant
SRR32569851,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/with_DMSO/SRR32569851_quant
SRR17260711,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR17260711_quant
SRR17260712,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR17260712_quant
SRR17260713,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR17260713_quant
SRR17260714,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR17260714_quant
SRR27238840,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR27238840_quant
SRR27238841,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR27238841_quant
SRR27238842,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR27238842_quant
SRR31847362,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR31847362_quant
SRR31847363,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR31847363_quant
SRR31847364,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_A549_RNAseq/salmon_quant/without_DMSO/SRR31847364_quant
