sample,condition,quant_dir
SRR14523763,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR14523763_quant
SRR14523764,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR14523764_quant
SRR14523765,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR14523765_quant
SRR25454032,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR25454032_quant
SRR25454033,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR25454033_quant
SRR25454034,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR25454034_quant
SRR25454037,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR25454037_quant
SRR26176182,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR26176182_quant
SRR26176183,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR26176183_quant
SRR26176184,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/with_DMSO/SRR26176184_quant
SRR11550037,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR11550037_quant
SRR11550038,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR11550038_quant
SRR11550039,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR11550039_quant
SRR11550040,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR11550040_quant
SRR14523760,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR14523760_quant
SRR14523761,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR14523761_quant
SRR14523762,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR14523762_quant
SRR25454023,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR25454023_quant
SRR25454024,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR25454024_quant
SRR25454025,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_Calu-3_RNAseq/salmon_quant/without_DMSO/SRR25454025_quant
