sample,condition,quant_dir
SRR26288229,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26288229_quant
SRR26288230,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26288230_quant
SRR26298244,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298244_quant
SRR26298245,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298245_quant
SRR26298418,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298418_quant
SRR26298419,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298419_quant
SRR26298490,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298490_quant
SRR26298491,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR26298491_quant
SRR30861746,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR30861746_quant
SRR30861747,with_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/with_DMSO/SRR30861747_quant
SRR23957918,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR23957918_quant
SRR23957919,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR23957919_quant
SRR25385848,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR25385848_quant
SRR25385849,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR25385849_quant
SRR26288218,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR26288218_quant
SRR26288224,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR26288224_quant
SRR30861740,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR30861740_quant
SRR30861741,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR30861741_quant
SRR32886967,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR32886967_quant
SRR32886968,without_DMSO,/gpfs01/home/alysl56/projects/DMSO_HepG2_RNAseq/salmon_quant/without_DMSO/SRR32886968_quant
